          # 1 - step            2 - time           3 - E_tot           4 - V_tot           5 - K_tot
                   0                   0      -0.0356347155704191      -0.0356347279488952     1.23784760814866E-08
                   1                   1      -0.0356347155704487      -0.0356347650841952     4.95137465713881E-08
                   2                   2       -0.035634715570498      -0.0356348269758362     1.11405338204552E-07
                   3                   3       -0.035634715570567      -0.0356349136230292     1.98052462200805E-07
                   4                   4      -0.0356347155706557        -0.03563502502467     3.09454014257567E-07
                   5                   5      -0.0356347155707642      -0.0356351611793387     4.45608574539524E-07
                   6                   6      -0.0356347155708924         -0.0356353220853     6.06514407665352E-07
                   7                   7      -0.0356347155710403       -0.035635507740503      7.9216946269149E-07
                   8                   8      -0.0356347155712079       -0.035635718142581     1.00257137309298E-06
                   9                   9      -0.0356347155713953      -0.0356359532888521     1.23771745674139E-06
                  10                  10      -0.0356347155716024      -0.0356362131763183     1.49760471587974E-06
                  11                  11      -0.0356347155718293      -0.0356364978016664     1.78222983709464E-06
                  12                  12      -0.0356347155720758      -0.0356368071612671     2.09158919128534E-06
                  13                  13      -0.0356347155723422      -0.0356371412511758     2.42567883363003E-06
                  14                  14      -0.0356347155726282      -0.0356375000671318     2.78449450354915E-06
                  15                  15      -0.0356347155729341      -0.0356378836045587     3.16803162466581E-06
                  16                  16      -0.0356347155732596      -0.0356382918585644     3.57628530476344E-06
                  17                  17       -0.035634715573605      -0.0356387248239407     4.00925033574041E-06
                  18                  18      -0.0356347155739701      -0.0356391824951636     4.46692119356192E-06
                  19                  19      -0.0356347155743549      -0.0356396648663931     4.94929203820901E-06
                  20                  20      -0.0356347155747596      -0.0356401719314732     5.45635671362475E-06
                  21                  21       -0.035634715575184      -0.0356407036839317     5.98810874765757E-06
                  22                  22      -0.0356347155756282      -0.0356412601169802     6.54454135200186E-06
                  23                  23      -0.0356347155760922      -0.0356418412235143     7.12564742213576E-06
                  24                  24       -0.035634715576576      -0.0356424469961132     7.73141953725616E-06
                  25                  25      -0.0356347155770796      -0.0356430774270398     8.36184996021099E-06
                  26                  26       -0.035634715577603      -0.0356437325082404     9.01693063742875E-06
                  27                  27      -0.0356347155781462      -0.0356444122313451     9.69665319884535E-06
                  28                  28      -0.0356347155787093      -0.0356451165876671     1.04010089578283E-05
                  29                  29      -0.0356347155792922      -0.0356458455682033      1.1129988911098E-05
                  30                  30      -0.0356347155798949      -0.0356465991636336     1.18835837386467E-05
                  31                  31      -0.0356347155805175      -0.0356473773643211      1.2661783803655E-05
                  32                  32      -0.0356347155811599      -0.0356481801603123     1.34645791524047E-05
                  33                  33      -0.0356347155818222      -0.0356490075413364     1.42919595141904E-05
                  34                  34      -0.0356347155825044      -0.0356498594968056     1.51439143012279E-05
                  35                  35      -0.0356347155832065       -0.035650736015815     1.60204326085599E-05
                  36                  36      -0.0356347155839284      -0.0356516370871424     1.69215032139596E-05
                  37                  37      -0.0356347155846703      -0.0356525626992481     1.78471145778314E-05
                  38                  38      -0.0356347155854321      -0.0356535128402752     1.87972548431098E-05
                  39                  39      -0.0356347155862138      -0.0356544874980489     1.97719118351552E-05
                  40                  40      -0.0356347155870154      -0.0356554866600771     2.07710730616476E-05
                  41                  41       -0.035634715587837      -0.0356565103135495      2.1794725712478E-05
                  42                  42      -0.0356347155886786      -0.0356575584453382     2.28428566596373E-05
                  43                  43      -0.0356347155895401      -0.0356586310419972      2.3915452457103E-05
                  44                  44      -0.0356347155904216      -0.0356597280897623     2.50124993407239E-05
                  45                  45       -0.035634715591323      -0.0356608495745511      2.6133983228102E-05
                  46                  46      -0.0356347155922445       -0.035661995481963     2.72798897184723E-05
                  47                  47       -0.035634715593186      -0.0356631657972786     2.84502040925815E-05
                  48                  48      -0.0356347155941475      -0.0356643605054601     2.96449113125626E-05
                  49                  49      -0.0356347155951291      -0.0356655795911509     3.08639960218093E-05
                  50                  50      -0.0356347155961307      -0.0356668230386755     3.21074425448475E-05
                  51                  51      -0.0356347155971523      -0.0356680908320395     3.33752348872045E-05
                  52                  52      -0.0356347155981941      -0.0356693829549294     3.46673567352768E-05
                  53                  53      -0.0356347155992559      -0.0356706993907121     3.59837914561959E-05
                  54                  54      -0.0356347156003379      -0.0356720401224356     3.73245220976918E-05
                  55                  55      -0.0356347156014399      -0.0356734051328279     3.86895313879551E-05
                  56                  56      -0.0356347156025621      -0.0356747944042976      4.0078801735497E-05
                  57                  57      -0.0356347156037045      -0.0356762079189335     4.14923152290077E-05
                  58                  58      -0.0356347156048669      -0.0356776456585042     4.29300536372129E-05
                  59                  59      -0.0356347156060496      -0.0356791076044583     4.43919984087289E-05
                  60                  60      -0.0356347156072525      -0.0356805937379244      4.5878130671916E-05
                  61                  61      -0.0356347156084755      -0.0356821040397103       4.738843123473E-05
                  62                  62      -0.0356347156097188      -0.0356836384903034     4.89228805845723E-05
                  63                  63      -0.0356347156109823      -0.0356851970698705      5.0481458888139E-05
                  64                  64      -0.0356347156122661      -0.0356867797582573     5.20641459912681E-05
                  65                  65      -0.0356347156135701      -0.0356883865349889     5.36709214187851E-05
                  66                  66      -0.0356347156148944      -0.0356900173792688     5.53017643743477E-05
                  67                  67       -0.035634715616239      -0.0356916722699793     5.69566537402895E-05
                  68                  68      -0.0356347156176039      -0.0356933511856814     5.86355680774612E-05
                  69                  69      -0.0356347156189892      -0.0356950541046143     6.03384856250723E-05
                  70                  70      -0.0356347156203948      -0.0356967810046953     6.20653843005305E-05
                  71                  71      -0.0356347156218207        -0.03569853186352     6.38162416992802E-05
                  72                  72       -0.035634715623267      -0.0357003066583617     6.55910350946406E-05
                  73                  73      -0.0356347156247338      -0.0357021053661714     6.73897414376422E-05
                  74                  74      -0.0356347156262209      -0.0357039279635778     6.92123373568627E-05
                  75                  75      -0.0356347156277285      -0.0357057744268868     7.10587991582621E-05
                  76                  76      -0.0356347156292565      -0.0357076447320815     7.29291028250166E-05
                  77                  77       -0.035634715630805      -0.0357095388548223     7.48232240173527E-05
                  78                  78      -0.0356347156323739      -0.0357114567704463     7.67411380723796E-05
                  79                  79      -0.0356347156339634      -0.0357133984539673     7.86828200039218E-05
                  80                  80      -0.0356347156355734      -0.0357153638800757     8.06482445023505E-05
                  81                  81      -0.0356347156372039      -0.0357173530231383     8.26373859344156E-05
                  82                  82      -0.0356347156388549       -0.035719365857198     8.46502183430758E-05
                  83                  83      -0.0356347156405266      -0.0357214023559739       8.668671544733E-05
                  84                  84      -0.0356347156422188      -0.0357234624928608     8.87468506420469E-05
                  85                  85      -0.0356347156439316      -0.0357255462409294      9.0830596997796E-05
                  86                  86      -0.0356347156456651      -0.0357276535729258      9.2937927260677E-05
                  87                  87      -0.0356347156474192      -0.0357297844612713     9.50688138521499E-05
                  88                  88      -0.0356347156491939      -0.0357319388780628     9.72232288688653E-05
